,name,lat,lon,h,TemperatureHighMeanAugustF,HumidityHighMeanAugust
46,KNYBROOK67,40.643,-73.99,75.0,91,75.9032258065
47,KNYBROOK70,40.616,-73.99,42.0,90,74.8064516129
48,KNYBROOK71,40.669,-73.873,0.0,91,73.3225806452
49,KNYBROOK74,40.696,-73.975,16.0,80,58.064516129
50,KNYBROOK76,40.709,-73.948,32.0,79,58.8387096774
51,KNYBROOK78,40.622,-74.034,78.0,89,67.1666666667
52,KNYBROOK79,40.701,-73.992,82.0,90,71.9411764706
53,KNYBROOK83,40.623,-74.04,55.0,87,76.1612903226
54,KNYBROOK85,40.601,-73.907,6.0,89,85.0967741935
55,KNYBROOK88,40.676,-73.959,124.0,79,98.7096774194
56,KNYBROOK91,40.581,-73.967,22.0,91,73.0967741935
57,KNYBROOK95,40.694,-73.965,52.0,-1,-1.0
58,KNYBROOK96,40.707,-74.01,-107506.0,84,85.1935483871
59,KNYBROOK97,40.682,-73.964,95.0,80,58.5806451613
60,KNYBROOK98,40.619,-73.919,16.0,96,74.7741935484
61,KNYBROOK99,40.629,-74.033,49.0,88,68.7741935484
62,KNYBROOK38,40.628,-74.038,43.0,88,76.8387096774
63,KNYBROOK55,40.638,-73.989,78.0,84,81.064516129
65,KNYBROOK56,40.636,-73.961,49.0,90,72.8387096774
66,KNYLONGI3,40.741,-73.922,82.0,85,74.8181818182
67,KNYLONGI10,40.744,-73.957,13.0,78,51.0666666667
68,KNYLONGI11,40.749,-73.971,-107506.0,75,53.064516129
69,KNYLONGI15,40.748,-73.956,22.0,88,84.0
70,KNYLONGI25,40.733,-73.954,22.0,-1,-1.0
71,KNYLONGI27,40.744,-73.959,-9.0,-1,-1.0
72,KNYLONGI29,40.743,-73.955,0.0,-1,-1.0
73,KNYLONGI31,40.742,-73.956,6.0,-1,-1.0
74,KNYLONGI33,40.749,-73.974,-107506.0,-1,-1.0
75,KNYLONGI35,40.74,-73.936,22.0,-1,-1.0
76,KNYLONGI5,40.743,-73.951,19.0,91,73.3333333333
77,KNYLONGI6,40.738,-73.957,13.0,81,61.6129032258
78,KNYLONGI7,40.747,-73.974,-107506.0,88,73.3870967742
79,KNYNEWYO99,40.791,-73.971,138.0,-1,-1.0
80,KNYNEWYO540,40.632,-74.191,43.0,-1,-1.0
82,KNYNEWYO177,40.559,-73.92,7.0,85,90.1290322581
84,KNYNEWYO270,40.782,-73.974,89.0,87,75.5714285714
85,KNYNEWYO489,40.672,-73.988,36.0,-1,-1.0
86,KNYNEWYO529,40.721,-73.888,108.0,-1,-1.0
87,KNYNEWYO322,40.732,-73.956,16.0,92,79.3571428571
88,KNYNEWYO545,40.581,-73.841,7.0,-1,-1.0
89,KNYNEWYO92,40.792,-73.971,154.0,85,70.7096774194
91,KNYNEWYO304,40.705,-73.864,82.0,85,82.0
93,KNYNEWYO116,40.688,-73.992,46.0,91,80.6774193548
95,KNYNEWYO181,40.675,-73.973,121.0,85,84.5483870968
97,KNYNEWYO505,40.697,-73.893,98.0,-1,-1.0
98,KNYNEWYO343,40.763,-73.992,30.0,85,77.2903225806
99,KNYNEWYO167,40.608,-74.073,135.0,85,84.3870967742
100,KNYNEWYO274,40.674,-73.977,108.0,85,79.9677419355
102,KNYNEWYO591,40.733,-73.996,260.0,-1,-1.0
103,KNYNEWYO139,40.803,-73.944,36.0,84,41.4193548387
105,KNYNEWYO598,40.588,-73.92,7.0,-1,-1.0
106,KNYNEWYO597,40.633,-74.019,79.0,-1,-1.0
109,KNYNEWYO594,40.731,-73.986,82.0,-1,-1.0
110,KNYNEWYO585,40.753,-73.983,0.0,-1,-1.0
111,KNYNEWYO152,40.591,-73.988,30.0,92,78.8709677419
113,KNYNEWYO455,40.661,-73.956,66.0,-1,-1.0
115,KNYNEWYO71,40.746,-73.982,98.0,85,76.6129032258
116,KNYNEWYO576,40.616,-74.146,52.0,-1,-1.0
117,KNYNEWYO87,40.616,-74.146,52.0,-1,-1.0
118,KNYNEWYO277,40.628,-74.113,154.0,84,86.2580645161
119,KNYNEWYO94,40.689,-73.996,66.0,88,78.8275862069
120,KNYNEWYO91,40.753,-73.979,250.0,81,64.5806451613
121,KNYNEWYO158,40.689,-73.871,43.0,91,73.4516129032
122,KNYNEWYO405,40.72,-74.011,30.0,-1,-1.0
123,KNYNEWYO570,40.665,-73.987,0.0,-1,-1.0
125,KNYNEWYO361,40.693,-73.929,59.0,88,79.0322580645
126,KNYNEWYO119,40.785,-73.97,180.0,103,56.5714285714
127,KNYNEWYO120,40.728,-73.985,36.0,88,68.8387096774
128,KNYNEWYO122,40.742,-73.999,72.0,84,72.1851851852
129,KNYNEWYO124,40.786,-73.97,157.0,79,48.2903225806
130,KNYNEWYO127,40.724,-73.984,49.0,99,69.1
131,KNYNEWYO128,40.758,-73.961,127.0,105,99.5806451613
132,KNYNEWYO131,40.708,-74.015,70.0,80,77.1290322581
133,KNYNEWYO132,40.792,-73.939,22.0,81,72.7777777778
134,KNYNEWYO133,40.716,-73.959,39.0,77,65.8387096774
135,KNYNEWYO134,40.783,-73.98,141.0,92,75.1612903226
136,KNYNEWYO135,40.803,-73.944,29.0,80,78.962962963
137,KNYNEWYO141,40.742,-73.999,59.0,82,51.064516129
138,KNYNEWYO144,40.769,-73.968,154.0,87,65.5806451613
139,KNYNEWYO146,40.765,-73.966,124.0,73,73.0967741935
140,KNYNEWYO151,40.725,-73.981,22.0,84,59.7407407407
141,KNYNEWYO154,40.741,-73.999,75.0,80,49.1111111111
142,KNYNEWYO164,40.761,-73.958,49.0,97,72.0
143,KNYNEWYO166,40.768,-73.988,78.0,83,52.8709677419
144,KNYNEWYO168,40.762,-73.986,-107506.0,85,72.6086956522
145,KNYNEWYO169,40.769,-73.969,85.0,91,91.0967741935
146,KNYNEWYO172,40.719,-73.964,36.0,82,68.1612903226
147,KNYNEWYO173,40.713,-73.957,9.0,-1,-1.0
148,KNYNEWYO178,40.747,-73.98,108.0,94,71.1935483871
149,KNYNEWYO184,40.708,-74.018,-107506.0,83,73.4137931034
150,KNYNEWYO185,40.777,-73.981,164.0,81,86.9032258065
151,KNYNEWYO192,40.78,-73.951,88.0,93,72.7741935484
152,KNYNEWYO193,40.751,-73.978,-107506.0,72,64.4
153,KNYNEWYO195,40.76,-73.993,55.0,83,38.935483871
154,KNYNEWYO198,40.71,-74.015,-107506.0,81,57.3548387097
155,KNYNEWYO200,40.762,-73.99,39.0,88,73.8888888889
156,KNYNEWYO201,40.759,-73.953,29.0,85,54.0967741935
158,KNYNEWYO204,40.765,-73.965,98.0,80,69.7
159,KNYNEWYO206,40.748,-74.002,26.0,92,72.1612903226
161,KNYNEWYO209,40.779,-73.979,118.0,82,66.8387096774
162,KNYNEWYO213,40.778,-73.945,52.0,-1,-1.0
163,KNYNEWYO216,40.719,-74.006,29.0,73,54.2580645161
164,KNYNEWYO218,40.744,-73.986,127.0,95,61.4838709677
165,KNYNEWYO221,40.77,-73.951,52.0,91,74.2903225806
166,KNYNEWYO226,40.72,-73.963,6.0,91,69.7096774194
167,KNYNEWYO230,40.744,-73.99,82.0,85,73.3548387097
168,KNYNEWYO232,40.77,-73.956,104.0,82,75.1612903226
169,KNYNEWYO238,40.747,-73.99,75.0,79,44.0967741935
170,KNYNEWYO248,40.767,-73.989,68.0,112,69.064516129
171,KNYNEWYO250,40.8,-73.953,62.0,93,82.2258064516
172,KNYNEWYO254,40.759,-73.992,42.0,93,64.8064516129
173,KNYNEWYO256,40.731,-73.99,65.0,80,65.3870967742
174,KNYNEWYO264,40.75,-73.977,-107506.0,83,61.1666666667
175,KNYNEWYO275,40.736,-73.996,78.0,76,63.6129032258
176,KNYNEWYO283,40.794,-73.972,127.0,88,71.4193548387
177,KNYNEWYO291,40.738,-73.998,59.0,93,75.9090909091
178,KNYNEWYO302,40.715,-73.955,19.0,96,65.9545454545
179,KNYNEWYO307,40.746,-73.999,36.0,91,71.9677419355
180,KNYNEWYO331,40.722,-73.999,55.0,98,74.0
181,KNYNEWYO333,40.798,-73.961,121.0,74,62.1785714286
182,KNYNEWYO349,40.707,-74.008,-107506.0,79,61.6785714286
183,KNYNEWYO354,40.752,-74.004,22.0,93,76.6451612903
184,KNYNEWYO359,40.736,-73.983,55.0,81,55.6774193548
185,KNYNEWYO382,40.764,-73.973,-107506.0,-1,-1.0
186,KNYNEWYO387,40.718,-73.999,45.0,-1,-1.0
187,KNYNEWYO391,40.741,-73.98,78.0,-1,-1.0
188,KNYNEWYO397,40.779,-73.978,121.0,-1,-1.0
189,KNYNEWYO419,40.772,-73.953,121.0,-1,-1.0
190,KNYNEWYO421,40.708,-74.017,-107506.0,-1,-1.0
192,KNYNEWYO427,40.8,-73.971,154.0,-1,-1.0
193,KNYNEWYO429,40.75,-73.983,173.0,-1,-1.0
194,KNYNEWYO433,40.712,-74.013,-107506.0,-1,-1.0
195,KNYNEWYO435,40.722,-74.009,62.0,-1,-1.0
196,KNYNEWYO441,40.767,-73.984,131.0,-1,-1.0
197,KNYNEWYO443,40.784,-73.981,137.0,-1,-1.0
198,KNYNEWYO445,40.791,-73.943,16.0,-1,-1.0
199,KNYNEWYO447,40.798,-73.973,154.0,-1,-1.0
200,KNYNEWYO449,40.752,-74.005,26.0,-1,-1.0
201,KNYNEWYO453,40.738,-74.001,82.0,-1,-1.0
202,KNYNEWYO460,40.778,-73.976,131.0,-1,-1.0
203,KNYNEWYO476,40.794,-73.969,177.0,-1,-1.0
204,KNYNEWYO480,40.781,-73.96,196.0,-1,-1.0
205,KNYNEWYO482,40.782,-73.957,187.0,-1,-1.0
206,KNYNEWYO492,40.797,-73.962,131.0,-1,-1.0
207,KNYNEWYO503,40.702,-73.993,62.0,-1,-1.0
208,KNYNEWYO520,40.815,-73.942,62.0,-1,-1.0
209,KNYNEWYO550,40.733,-73.996,0.0,-1,-1.0
210,KNYNEWYO554,40.779,-73.988,0.0,-1,-1.0
211,KNYNEWYO556,40.769,-73.961,0.0,-1,-1.0
212,KNYNEWYO560,40.717,-73.994,0.0,-1,-1.0
213,KNYNEWYO562,40.743,-73.995,0.0,-1,-1.0
214,KNYNEWYO564,40.779,-73.975,0.0,-1,-1.0
215,KNYNEWYO568,40.765,-73.976,0.0,-1,-1.0
216,KNYNEWYO572,40.771,-73.992,0.0,-1,-1.0
217,KNYNEWYO574,40.709,-74.001,0.0,-1,-1.0
218,KNYNEWYO577,40.772,-73.983,0.0,-1,-1.0
219,KNYNEWYO581,40.761,-73.999,0.0,-1,-1.0
220,KNYNEWYO583,40.77,-73.956,0.0,-1,-1.0
221,KNYNEWYO586,40.705,-74.008,0.0,-1,-1.0
222,KNYNEWYO592,40.776,-73.944,0.0,-1,-1.0
223,KNYNEWYO365,40.768,-73.91,82.0,88,71.1481481481
224,KNYNEWYO589,40.646,-74.004,157.0,-1,-1.0
225,KNYNEWYO176,40.624,-73.991,52.0,85,91.1290322581
226,KNYNEWYO81,40.72,-73.889,108.0,-1,-1.0
227,KNYNEWYO223,40.732,-73.952,75.0,87,76.5806451613
228,KNYNEWYO411,40.582,-74.093,2.0,-1,-1.0
229,KNYNEWYO543,40.582,-74.093,2.0,-1,-1.0
231,KNYNEWYO386,40.657,-73.979,154.0,-1,-1.0
232,KNYNEWYO366,40.727,-73.999,33.0,86,78.8
233,KNYNEWYO369,40.726,-73.997,66.0,87,81.8666666667
234,KNYNEWYO103,40.567,-74.133,74.0,86,86.7741935484
239,KNYNEWYO531,40.611,-73.95,33.0,-1,-1.0
240,KNYNEWYO488,40.648,-73.887,23.0,-1,-1.0
241,KNYNEWYO400,40.66,-73.985,171.0,-1,-1.0
242,KNYNEWYO364,40.739,-73.828,49.0,85,87.5806451613
243,KNYNEWYO126,40.679,-73.851,33.0,94,80.4193548387
244,KNYNEWYO395,40.747,-73.993,110.0,-1,-1.0
246,KNYMIDDL23,40.721,-73.888,108.0,86,77.3548387097
247,KNYQUEEN13,40.745,-73.91,115.0,92,73.4545454545
